,index,Team,Poss,Gls,Ast,PrgC,PrgP,Gls_Conceded,Ast_Conceded,PrgC_Conceded,PrgP_Conceded,cluster,PCA 1,PCA 2
0,0,Arsenal,58.9,73,55,1.82,3.26,43,23,0.87,1.47,0,1.6928785037276335,-0.05607159140315066
1,1,Bournemouth,51.5,53,33,1.21,2.08,63,47,1.61,2.84,1,0.19621186734715462,0.07041731294099665
2,2,Burnley,40.3,39,24,0.87,1.5,53,38,1.29,2.29,2,-1.4087838285826086,-0.39836950448152797
3,3,Chelsea,55.1,83,53,2.13,3.53,32,16,0.79,1.21,3,1.746864998250815,-0.8136628672422853
4,4,Crystal Palace,45.4,48,32,1.16,2.0,63,44,1.61,2.76,2,-0.5714179918259661,-0.2914236610509679
5,5,Everton,52.1,58,45,1.45,2.63,43,31,1.05,1.87,1,0.4546540558310984,-0.07692938375621713
6,6,Hull City,45.9,36,24,0.87,1.5,75,53,1.68,3.08,2,-1.0120748657988838,0.24181278941089113
7,7,Leicester City,41.9,46,32,1.11,1.95,61,42,1.53,2.63,2,-0.9766042865734923,-0.5342944017260313
8,8,Liverpool,62.0,77,52,1.84,3.21,42,28,1.03,1.76,0,2.1421907449158164,0.0686095416401044
9,9,Manchester City,65.0,75,54,1.79,3.21,38,29,0.95,1.71,0,2.338771697346409,0.4275060481431599
10,10,Manchester Utd,56.5,54,37,1.34,2.32,28,18,0.63,1.11,1,0.6996886383099776,0.4927363068675877
11,11,Middlesbrough,47.3,26,22,0.63,1.21,53,37,1.29,2.26,2,-1.2882523438955227,0.7772130816765659
12,12,Southampton,54.4,39,27,0.95,1.66,48,33,1.11,1.97,4,-0.10341180008853501,0.9070025240125459
13,13,Stoke City,46.3,37,24,0.87,1.5,51,38,1.32,2.32,2,-0.9344641466851915,0.23826573148835176
14,14,Sunderland,39.7,28,11,0.61,0.89,67,51,1.66,3.0,2,-1.9106993481752452,-0.007549476675619426
15,15,Swansea City,47.9,45,31,1.11,1.92,65,44,1.55,2.71,2,-0.4617057161579597,0.061761945725732736
16,16,Tottenham,60.5,84,59,2.03,3.58,25,15,0.61,1.0,0,2.287373599809214,-0.3543120427201175
17,17,Watford,46.1,39,27,0.95,1.66,66,47,1.66,2.89,2,-0.8718222849467482,0.13859203915433255
18,18,West Brom,37.3,43,33,1.11,1.97,50,39,1.24,2.26,2,-1.5242070039769697,-0.8384237880208147
19,19,West Ham,47.1,46,28,1.13,1.87,64,46,1.55,2.76,2,-0.49519048883099676,-0.05288060398353579
