,player_id,season,team_x,tournament,apps,mins,goals,assists,yels,reds,shoots_per_game,pass_success,overall_ratings,tackles,intercepts,fouls,offsides_won,clear,drb,blocks,key_pass,drb_won,fouls_given,offsides_given,dispossessed,turnover,total_pass,crosses,long_pass,Name,team_y,Current Team,Shirt Number,Height,birth_date,Nationality,Positions,rating_1,rating_2,rating_3,rating_4,rating_5,rating_6,rating_7,rating_8,rating_9,rating_10
0,148503,2022/2023,Aston Villa,EPL,35(1),3046,14,,4,0,2.3,69.8,6.93,0.4,,0.7,0,1.1,0.4,6.93,0.8,0.5,1,0.5,1.1,2.3,15,0.1,0.1,Ollie Watkins,,Aston Villa,11,180cm,30-12-1995,England,"Attacking Midfielder (Left, Right), Forward",7.49,7.85,7.54,9.71,6.3,6.63,6.08,6.22,6.45,6.46
1,148503,2021/2022,Aston Villa,EPL,33(2),2955,11,,7,0,2.2,70.9,6.90,0.5,,0.9,0,0.7,0.4,6.90,1,1.1,1.1,0.5,1.5,2.5,19.3,0,0.2,Ollie Watkins,,Aston Villa,11,180cm,30-12-1995,England,"Attacking Midfielder (Left, Right), Forward",7.49,7.85,7.54,9.71,6.3,6.63,6.08,6.22,6.45,6.46
2,148503,2020/2021,Aston Villa,EPL,37,3329,14,,2,1,2.6,71.5,7.18,0.8,,1.3,0,0.6,0.6,7.18,1.2,1.1,1.3,0.8,2.3,3.1,21.7,0.1,0.2,Ollie Watkins,,Aston Villa,11,180cm,30-12-1995,England,"Attacking Midfielder (Left, Right), Forward",7.49,7.85,7.54,9.71,6.3,6.63,6.08,6.22,6.45,6.46
0,337883,2022/2023,Aston Villa,EPL,32(4),2843,5,,6,1,0.9,86.7,6.92,2,,1.2,0,0.6,0.9,6.92,1.2,0.7,1.1,0.1,0.9,1,46.2,0.6,2.2,Douglas Luiz,,Aston Villa,6,175cm,09-05-1998,Brazil,Midfielder (Centre),7.08,6.73,7.18,7.21,7.65,7.34,6.34,6.08,7.31,8.16
1,337883,2021/2022,Aston Villa,EPL,31(3),2720,2,,7,0,0.7,86.8,6.77,1.7,,1.1,0.1,0.6,1.5,6.77,1.1,0.7,1.2,0,0.5,1.5,42.7,0.6,1.6,Douglas Luiz,,Aston Villa,6,175cm,09-05-1998,Brazil,Midfielder (Centre),7.08,6.73,7.18,7.21,7.65,7.34,6.34,6.08,7.31,8.16
2,337883,2020/2021,Aston Villa,EPL,32(1),2790,0,,8,1,0.8,85.7,6.67,1.5,,1.8,0,1.2,1.2,6.67,0.6,0.7,1.5,0,0.5,0.8,42.9,0.1,3.3,Douglas Luiz,,Aston Villa,6,175cm,09-05-1998,Brazil,Midfielder (Centre),7.08,6.73,7.18,7.21,7.65,7.34,6.34,6.08,7.31,8.16
3,337883,2019/2020,Aston Villa,EPL,28(8),2608,3,,8,0,1.1,82.6,6.63,1.3,,1.4,0,1.3,1.3,6.63,0.5,0.9,1,0,0.6,1.1,33.6,0.2,2.6,Douglas Luiz,,Aston Villa,6,175cm,09-05-1998,Brazil,Midfielder (Centre),7.08,6.73,7.18,7.21,7.65,7.34,6.34,6.08,7.31,8.16
0,102248,2022/2023,Aston Villa,EPL,35,3051,0,,7,0,0,72.3,6.88,0,,0,0,0.8,0.1,6.88,0.1,0,0.2,0,0,0.1,34.6,0,6.7,Emiliano Martínez,,Aston Villa,1,195cm,02-09-1992,Argentina,Goalkeeper,8.91,6.73,7.58,7.25,7.02,6.44,7.33,6.3,6.03,7.29
1,102248,2021/2022,Aston Villa,EPL,36,3240,0,,4,0,0,70.4,6.63,0,,0,0,0.3,0.1,6.63,0,0,0.2,0,0,0,26,0,4.8,Emiliano Martínez,,Aston Villa,1,195cm,02-09-1992,Argentina,Goalkeeper,8.91,6.73,7.58,7.25,7.02,6.44,7.33,6.3,6.03,7.29
2,102248,2020/2021,Aston Villa,EPL,38,3420,0,,1,0,0,62.5,7.00,0.1,,0,0,0.4,0,7.00,0.1,0,0.2,0,0,0,29.8,0,7,Emiliano Martínez,,Aston Villa,1,195cm,02-09-1992,Argentina,Goalkeeper,8.91,6.73,7.58,7.25,7.02,6.44,7.33,6.3,6.03,7.29
3,102248,2019/2020,Arsenal,EPL,8(1),770,0,,2,0,0,67.3,7.02,0,,0,0,0.2,0,7.02,0,0,0,0,0,0,27.2,0,3.7,Emiliano Martínez,,Aston Villa,1,195cm,02-09-1992,Argentina,Goalkeeper,8.91,6.73,7.58,7.25,7.02,6.44,7.33,6.3,6.03,7.29
4,102248,2016/2017,Arsenal,EPL,2,180,0,,0,0,0,74.4,6.65,0,,0.5,0,0,0,6.65,0,0,0,0,0,0,21.5,0,3,Emiliano Martínez,,Aston Villa,1,195cm,02-09-1992,Argentina,Goalkeeper,8.91,6.73,7.58,7.25,7.02,6.44,7.33,6.3,6.03,7.29
5,102248,2014/2015,Arsenal,EPL,3(1),301,0,,0,0,0,54.3,6.46,0,,0,0,0.5,0,6.46,0,0,0.3,0,0,0,20.3,0,5.5,Emiliano Martínez,,Aston Villa,1,195cm,02-09-1992,Argentina,Goalkeeper,8.91,6.73,7.58,7.25,7.02,6.44,7.33,6.3,6.03,7.29
