,player_id,season,team_x,tournament,apps,mins,goals,assists,yels,reds,shoots_per_game,pass_success,overall_ratings,tackles,intercepts,fouls,offsides_won,clear,drb,blocks,key_pass,drb_won,fouls_given,offsides_given,dispossessed,turnover,total_pass,crosses,long_pass,Name,team_y,Current Team,Shirt Number,Height,birth_date,Nationality,Positions,rating_1,rating_2,rating_3,rating_4,rating_5,rating_6,rating_7,rating_8,rating_9,rating_10
0,332403,2022/2023,Crystal Palace,EPL,29(8),2554,10,,3,0,1.8,82,7.02,1.1,,0.7,0,0.2,0.5,7.02,1.5,1.9,1.5,0.1,1.4,1.8,28.1,0.6,0.9,Eberechi Eze,,Crystal Palace,10,178cm,29-06-1998,England,"Attacking Midfielder (Centre, Left, Right)",6.34,7.53,9.18,9.15,6.82,7.19,7.74,6.42,8.74,7.47
1,332403,2021/2022,Crystal Palace,EPL,6(7),603,1,,1,0,0.8,82.4,6.52,0.8,,0.4,0,0.1,0.4,6.52,0.8,1.1,0.9,0,0.8,1.5,21,0.6,0.8,Eberechi Eze,,Crystal Palace,10,178cm,29-06-1998,England,"Attacking Midfielder (Centre, Left, Right)",6.34,7.53,9.18,9.15,6.82,7.19,7.74,6.42,8.74,7.47
2,332403,2020/2021,Crystal Palace,EPL,29(5),2565,4,,3,0,1.1,84.2,6.81,0.8,,0.5,0,0.2,0.6,6.81,1.3,1.9,2.1,0,1.1,1.7,32,0.7,0.7,Eberechi Eze,,Crystal Palace,10,178cm,29-06-1998,England,"Attacking Midfielder (Centre, Left, Right)",6.34,7.53,9.18,9.15,6.82,7.19,7.74,6.42,8.74,7.47
0,371281,2022/2023,Crystal Palace,EPL,30(6),2667,2,,2,0,1.4,78.4,6.95,1.5,,0.8,0,0.4,1,6.95,1.8,1.4,1.9,0.2,1.3,2.3,30.8,1.6,1.3,Michael Olise,,Crystal Palace,7,184cm,12-12-2001,England,"Attacking Midfielder (Centre, Left, Right)",6.39,7.46,10,7.22,6.83,6.55,7.85,6.85,7.61,6.48
1,371281,2021/2022,Crystal Palace,EPL,12(14),1138,2,,4,0,0.7,81.4,6.66,0.8,,0.6,0,0.2,0.7,6.66,0.9,1.1,1,0,0.8,1,21,0.7,1.1,Michael Olise,,Crystal Palace,7,184cm,12-12-2001,England,"Attacking Midfielder (Centre, Left, Right)",6.39,7.46,10,7.22,6.83,6.55,7.85,6.85,7.61,6.48
0,231135,2022/2023,Crystal Palace,EPL,31,2694,1,,8,0,0.7,79.3,6.82,1.4,,0.9,0.7,6,0.5,6.82,0.4,0.2,0.5,0.1,0.1,0.3,59.3,0,6.3,Joachim Andersen,,Crystal Palace,16,192cm,31-05-1996,Denmark,Defender (Centre),6.78,6.85,7.15,6.55,7.23,5.44,7.25,6.49,7.86,6.24
1,231135,2021/2022,Crystal Palace,EPL,32(2),2915,0,,4,0,0.2,81.6,6.67,0.9,,0.6,0.2,3.6,0.3,6.67,0.6,0.2,0.2,0,0.2,0.2,68.6,0.1,7.4,Joachim Andersen,,Crystal Palace,16,192cm,31-05-1996,Denmark,Defender (Centre),6.78,6.85,7.15,6.55,7.23,5.44,7.25,6.49,7.86,6.24
2,231135,2020/2021,Fulham,EPL,30(1),2730,1,,7,1,0.4,81.4,6.79,1.1,,1.3,1.1,4.8,0.4,6.79,0.3,0.3,0.5,0,0.1,0.3,63.2,0,5.8,Joachim Andersen,,Crystal Palace,16,192cm,31-05-1996,Denmark,Defender (Centre),6.78,6.85,7.15,6.55,7.23,5.44,7.25,6.49,7.86,6.24
0,85059,2022/2023,Crystal Palace,EPL,27,2295,7,,5,0,2.4,81.3,6.82,1.2,,1.3,0,0.2,0.5,6.82,1,2,2.9,0.5,3,3.5,22.4,0.2,0.3,Wilfried Zaha,,Crystal Palace,11,180cm,10-11-1992,Ivory Coast,"Attacking Midfielder (Left, Right), Forward",6.52,6.55,5.96,6.14,6.76,6.32,6.55,7.64,7.36,6.25
1,85059,2021/2022,Crystal Palace,EPL,31(2),2761,14,,4,1,2.1,79.9,6.99,1.2,,1.1,0,0.2,0.6,6.99,1.4,2.3,3.1,0.7,3.3,3.8,27.5,0.4,0.4,Wilfried Zaha,,Crystal Palace,11,180cm,10-11-1992,Ivory Coast,"Attacking Midfielder (Left, Right), Forward",6.52,6.55,5.96,6.14,6.76,6.32,6.55,7.64,7.36,6.25
2,85059,2020/2021,Crystal Palace,EPL,29(1),2614,11,,6,0,2,78.3,6.88,0.9,,1.1,0,0,0.6,6.88,1,1.8,2.9,0.7,2.6,3.6,24.5,0.2,0.3,Wilfried Zaha,,Crystal Palace,11,180cm,10-11-1992,Ivory Coast,"Attacking Midfielder (Left, Right), Forward",6.52,6.55,5.96,6.14,6.76,6.32,6.55,7.64,7.36,6.25
3,85059,2019/2020,Crystal Palace,EPL,37(1),3280,4,,5,0,1.6,81.1,6.98,1.1,,1.3,0,0.1,1,6.98,0.9,4.3,3.2,0.4,3.9,3.4,28.8,0.5,0.7,Wilfried Zaha,,Crystal Palace,11,180cm,10-11-1992,Ivory Coast,"Attacking Midfielder (Left, Right), Forward",6.52,6.55,5.96,6.14,6.76,6.32,6.55,7.64,7.36,6.25
