,player_id,season,team_x,tournament,apps,mins,goals,assists,yels,reds,shoots_per_game,pass_success,overall_ratings,tackles,intercepts,fouls,offsides_won,clear,drb,blocks,key_pass,drb_won,fouls_given,offsides_given,dispossessed,turnover,total_pass,crosses,long_pass,Name,team_y,Current Team,Shirt Number,Height,birth_date,Nationality,Positions,rating_1,rating_2,rating_3,rating_4,rating_5,rating_6,rating_7,rating_8,rating_9,rating_10
0,108226,2022/2023,Liverpool,EPL,36(1),3207,19,,2,0,3.2,78.3,7.13,0.5,,0.5,0,0.1,0.4,7.13,1.7,1.3,0.9,0.6,2.1,2.9,29.4,0.3,0.6,Mohamed Salah,,Liverpool,11,175cm,15-06-1992,Egypt,"Attacking Midfielder (Centre, Left, Right), Forward",6.27,6.58,8.52,7.39,6.74,7.57,7.58,7.78,8.36,6.89
1,108226,2021/2022,Liverpool,EPL,30(5),2763,23,,1,0,4,79.9,7.54,0.5,,0.3,0,0.1,0.4,7.54,1.8,1.5,0.7,0.3,2.3,2.8,30.8,0.2,0.5,Mohamed Salah,,Liverpool,11,175cm,15-06-1992,Egypt,"Attacking Midfielder (Centre, Left, Right), Forward",6.27,6.58,8.52,7.39,6.74,7.57,7.58,7.78,8.36,6.89
2,108226,2020/2021,Liverpool,EPL,34(3),3082,22,,0,0,3.4,83.7,7.07,0.5,,0.6,0,0.3,0.2,7.07,1.5,1,0.6,0.4,2.2,3.1,34.1,0.2,0.6,Mohamed Salah,,Liverpool,11,175cm,15-06-1992,Egypt,"Attacking Midfielder (Centre, Left, Right), Forward",6.27,6.58,8.52,7.39,6.74,7.57,7.58,7.78,8.36,6.89
3,108226,2019/2020,Liverpool,EPL,33(1),2888,19,,1,0,3.9,76.5,7.40,0.5,,0.5,0,0.1,0.5,7.40,1.8,1.5,0.5,0.6,2,2.6,28.8,0.3,0.4,Mohamed Salah,,Liverpool,11,175cm,15-06-1992,Egypt,"Attacking Midfielder (Centre, Left, Right), Forward",6.27,6.58,8.52,7.39,6.74,7.57,7.58,7.78,8.36,6.89
4,108226,2018/2019,Liverpool,EPL,37(1),3262,22,,1,0,3.6,75.9,7.57,0.6,,0.7,0,0.1,0.3,7.57,1.8,2.1,0.8,0.7,3.1,2.9,28.4,0.4,0.6,Mohamed Salah,,Liverpool,11,175cm,15-06-1992,Egypt,"Attacking Midfielder (Centre, Left, Right), Forward",6.27,6.58,8.52,7.39,6.74,7.57,7.58,7.78,8.36,6.89
5,108226,2017/2018,Liverpool,EPL,34(2),2922,32,,1,0,4,76.7,7.69,0.3,,0.4,0,0.1,0.6,7.69,1.7,2.2,0.8,0.5,2.6,2.9,26.3,0.8,0.5,Mohamed Salah,,Liverpool,11,175cm,15-06-1992,Egypt,"Attacking Midfielder (Centre, Left, Right), Forward",6.27,6.58,8.52,7.39,6.74,7.57,7.58,7.78,8.36,6.89
6,108226,2014/2015,Chelsea,EPL,0(3),30,0,,0,0,0.7,78.3,5.97,0,,0.3,0,0,0,5.97,0.3,0.3,0,0,1,0.7,7.7,0,0.3,Mohamed Salah,,Liverpool,11,175cm,15-06-1992,Egypt,"Attacking Midfielder (Centre, Left, Right), Forward",6.27,6.58,8.52,7.39,6.74,7.57,7.58,7.78,8.36,6.89
7,108226,2013/2014,Chelsea,EPL,6(4),501,2,,1,0,2.1,82.3,6.88,0.7,,0.3,0,0.2,0.4,6.88,0.9,1.6,1.4,0.1,1.8,1,22,0.2,0.4,Mohamed Salah,,Liverpool,11,175cm,15-06-1992,Egypt,"Attacking Midfielder (Centre, Left, Right), Forward",6.27,6.58,8.52,7.39,6.74,7.57,7.58,7.78,8.36,6.89
0,318871,2022/2023,Liverpool,EPL,33(3),2842,2,,5,0,1,78.6,7.09,1.5,,0.6,0.3,1,0.9,7.09,1.9,0.8,0.2,0.1,0.6,0.9,62.1,2,5.1,Trent Alexander-Arnold,,Liverpool,66,175cm,07-10-1998,England,"Defender (Right), Midfielder (Right)",6.4,7.88,8.47,7.44,7.23,6.93,8.09,7.51,8.43,6.91
1,318871,2021/2022,Liverpool,EPL,32,2854,2,,2,0,1.6,78.1,7.52,1.3,,0.4,0.4,1,1,7.52,2.8,0.6,0.2,0.3,0.6,1.3,67.3,2.6,6.3,Trent Alexander-Arnold,,Liverpool,66,175cm,07-10-1998,England,"Defender (Right), Midfielder (Right)",6.4,7.88,8.47,7.44,7.23,6.93,8.09,7.51,8.43,6.91
2,318871,2020/2021,Liverpool,EPL,34(2),3033,2,,2,0,1.5,79.4,7.02,1.6,,0.6,0.4,1.2,0.6,7.02,2.1,0.9,0.3,0.1,0.6,0.9,66.1,1.9,4.2,Trent Alexander-Arnold,,Liverpool,66,175cm,07-10-1998,England,"Defender (Right), Midfielder (Right)",6.4,7.88,8.47,7.44,7.23,6.93,8.09,7.51,8.43,6.91
3,318871,2019/2020,Liverpool,EPL,35(3),3176,4,,5,0,1.2,76.7,7.20,1.4,,0.6,0.5,1.8,1.1,7.20,2.3,0.6,0.2,0.1,0.3,1.2,64.2,2.1,5.1,Trent Alexander-Arnold,,Liverpool,66,175cm,07-10-1998,England,"Defender (Right), Midfielder (Right)",6.4,7.88,8.47,7.44,7.23,6.93,8.09,7.51,8.43,6.91
