,player_id,season,team_x,tournament,apps,mins,goals,assists,yels,reds,shoots_per_game,pass_success,overall_ratings,tackles,intercepts,fouls,offsides_won,clear,drb,blocks,key_pass,drb_won,fouls_given,offsides_given,dispossessed,turnover,total_pass,crosses,long_pass,Name,team_y,Current Team,Shirt Number,Height,birth_date,Nationality,Positions,rating_1,rating_2,rating_3,rating_4,rating_5,rating_6,rating_7,rating_8,rating_9,rating_10
0,134240,2022/2023,Brentford,EPL,33,2955,20,,9,0,2.8,62,7.25,0.7,,1.6,0,1.1,0.5,7.25,0.8,0.5,2.2,0.8,1.4,3,22.3,0.2,0.4,Ivan Toney,,Brentford,17,179cm,16-03-1996,England,Forward,6.29,6.09,7.86,6.5,7.64,6.22,7.47,6.7,7.38,6.8
1,134240,2021/2022,Brentford,EPL,32(1),2908,12,,8,0,2.7,58.9,7.28,1,,1.5,0,1.3,0.8,7.28,1.3,0.7,2.4,0.8,1.3,3.3,22.2,0.1,0.4,Ivan Toney,,Brentford,17,179cm,16-03-1996,England,Forward,6.29,6.09,7.86,6.5,7.64,6.22,7.47,6.7,7.38,6.8
2,134240,2015/2016,Newcastle,EPL,0(2),10,0,,0,0,0,66.7,5.94,0,,0,0,0,0.5,5.94,0,0,0,0,0.5,0.5,1.5,0,0,Ivan Toney,,Brentford,17,179cm,16-03-1996,England,Forward,6.29,6.09,7.86,6.5,7.64,6.22,7.47,6.7,7.38,6.8
0,342499,2022/2023,Brentford,EPL,29,2610,2,,0,0,0.4,79.8,7.05,1.7,,0.2,0.7,7.2,0.2,7.05,0.3,0.1,0.3,0,0.2,0.2,36.3,0.1,1.6,Ethan Pinnock,,Brentford,5,187cm,29-05-1993,Jamaica,Defender (Centre),7.58,7.38,6.99,7.04,6.95,7.26,6.96,6.41,7.64,6.62
1,342499,2021/2022,Brentford,EPL,32,2698,1,,1,0,0.5,75.4,6.97,1.6,,0.3,0.6,4.6,0.4,6.97,0.3,0.3,0.4,0,0.2,0.4,44.3,0.1,2,Ethan Pinnock,,Brentford,5,187cm,29-05-1993,Jamaica,Defender (Centre),7.58,7.38,6.99,7.04,6.95,7.26,6.96,6.41,7.64,6.62
0,353377,2022/2023,Brentford,EPL,35(2),2842,9,,5,0,1.9,73.6,6.99,0.7,,0.7,0,0.4,0.9,6.99,1.3,1.2,0.6,0.1,1.4,1.9,21.2,1.1,0.8,Bryan Mbeumo,,Brentford,19,173cm,07-08-1999,Cameroon,"Attacking Midfielder (Left, Right), Forward",7.92,6.06,6.18,7.05,8.36,7.11,7.03,6.07,8.76,9
1,353377,2021/2022,Brentford,EPL,34(1),2916,4,,4,0,2.2,69,6.74,0.8,,0.6,0,0.4,0.4,6.74,1,1.1,1.1,0.4,1.6,2.5,20.9,0.5,0.7,Bryan Mbeumo,,Brentford,19,173cm,07-08-1999,Cameroon,"Attacking Midfielder (Left, Right), Forward",7.92,6.06,6.18,7.05,8.36,7.11,7.03,6.07,8.76,9
0,94935,2022/2023,Brentford,EPL,36,3182,3,,2,0,0.7,76.9,6.99,1.1,,0.4,0.3,3.2,0.4,6.99,0.2,0.3,0.4,0,0,0.5,45.2,0,2.9,Ben Mee,,Brentford,16,180cm,21-09-1989,England,"Defender (Centre, Left)",6.33,6.53,6.11,6.6,7.77,7,6.84,6.34,7.61,7.59
1,94935,2021/2022,Burnley,EPL,21,1840,3,,3,0,0.9,70.4,6.92,1.2,,0.4,0.5,4.4,0.3,6.92,0.2,0.2,0.3,0.1,0,0.2,35.8,0,4.2,Ben Mee,,Brentford,16,180cm,21-09-1989,England,"Defender (Centre, Left)",6.33,6.53,6.11,6.6,7.77,7,6.84,6.34,7.61,7.59
2,94935,2020/2021,Burnley,EPL,30,2694,2,,3,0,0.7,71.1,6.93,1.1,,0.5,0.7,4.9,0.5,6.93,0.2,0.1,0.6,0,0.1,0.3,37.4,0,3.7,Ben Mee,,Brentford,16,180cm,21-09-1989,England,"Defender (Centre, Left)",6.33,6.53,6.11,6.6,7.77,7,6.84,6.34,7.61,7.59
