,player_id,season,team_x,tournament,apps,mins,goals,assists,yels,reds,shoots_per_game,pass_success,overall_ratings,tackles,intercepts,fouls,offsides_won,clear,drb,blocks,key_pass,drb_won,fouls_given,offsides_given,dispossessed,turnover,total_pass,crosses,long_pass,Name,team_y,Current Team,Shirt Number,Height,birth_date,Nationality,Positions,rating_1,rating_2,rating_3,rating_4,rating_5,rating_6,rating_7,rating_8,rating_9,rating_10
0,122926,2022/2023,Brighton,EPL,31(2),2728,7,,2,0,2.2,78.6,7.38,1.6,,1.4,0.1,0.9,0.6,7.38,2,1.8,1.2,0.4,1,1.7,33.4,1.1,2.1,Solly March,,Brighton,7,180cm,20-07-1994,England,"Midfielder (Centre, Left, Right)",N/A,8.55,7.56,7.65,7.76,N/A,7.59,7.31,7.09,7.24
1,122926,2021/2022,Brighton,EPL,17(14),1739,0,,1,0,0.6,77.4,6.59,1,,1,0,0.7,0.5,6.59,1.1,0.7,0.6,0.4,0.9,0.8,20.6,0.8,1.3,Solly March,,Brighton,7,180cm,20-07-1994,England,"Midfielder (Centre, Left, Right)",N/A,8.55,7.56,7.65,7.76,N/A,7.59,7.31,7.09,7.24
2,122926,2020/2021,Brighton,EPL,19(2),1675,2,,0,0,1,76,7.07,2.3,,1.2,0,1,0.8,7.07,1.3,2.1,1.2,0.1,1.1,1,34.1,0.9,2,Solly March,,Brighton,7,180cm,20-07-1994,England,"Midfielder (Centre, Left, Right)",N/A,8.55,7.56,7.65,7.76,N/A,7.59,7.31,7.09,7.24
3,122926,2019/2020,Brighton,EPL,11(8),1147,0,,2,0,1.1,77.6,6.59,1.3,,0.5,0.1,0.5,0.5,6.59,0.7,0.8,0.6,0.1,1.6,0.8,25.9,0.7,1.3,Solly March,,Brighton,7,180cm,20-07-1994,England,"Midfielder (Centre, Left, Right)",N/A,8.55,7.56,7.65,7.76,N/A,7.59,7.31,7.09,7.24
4,122926,2018/2019,Brighton,EPL,30(5),2475,1,,1,0,1.2,70.6,6.79,1.6,,0.8,0,0.7,0.7,6.79,1.2,1.4,0.9,0.2,1.2,1.3,21.6,1.3,0.9,Solly March,,Brighton,7,180cm,20-07-1994,England,"Midfielder (Centre, Left, Right)",N/A,8.55,7.56,7.65,7.76,N/A,7.59,7.31,7.09,7.24
5,122926,2017/2018,Brighton,EPL,18(18),1844,1,,3,0,0.8,77.8,6.60,1.5,,0.8,0.1,0.8,0.9,6.60,0.6,1.3,0.6,0.2,1.2,1,17.8,0.4,1,Solly March,,Brighton,7,180cm,20-07-1994,England,"Midfielder (Centre, Left, Right)",N/A,8.55,7.56,7.65,7.76,N/A,7.59,7.31,7.09,7.24
0,345319,2022/2023,Brighton,EPL,30(4),2796,10,,8,0,2.5,87.3,7.05,2,,1,0.1,0.3,1.1,7.05,1.4,1.2,1.6,0,1,1.3,51.6,0.2,1.8,Alexis Mac Allister,,Brighton,10,176cm,24-12-1998,Argentina,"Midfielder (Centre, Left), Forward",6.63,N/A,6.8,6.4,8.19,7.51,6.99,5.83,8.27,6.14
1,345319,2021/2022,Brighton,EPL,22(11),2118,5,,4,0,1.8,84.4,6.75,2,,0.9,0,0.5,1.2,6.75,0.9,0.6,1.2,0.1,0.7,1.3,30.2,0.5,1.5,Alexis Mac Allister,,Brighton,10,176cm,24-12-1998,Argentina,"Midfielder (Centre, Left), Forward",6.63,N/A,6.8,6.4,8.19,7.51,6.99,5.83,8.27,6.14
2,345319,2020/2021,Brighton,EPL,13(8),1117,1,,1,0,1.1,80.8,6.44,1.2,,0.9,0,0.1,1.3,6.44,0.7,0.8,0.7,0,0.8,1.3,18.9,0,0.8,Alexis Mac Allister,,Brighton,10,176cm,24-12-1998,Argentina,"Midfielder (Centre, Left), Forward",6.63,N/A,6.8,6.4,8.19,7.51,6.99,5.83,8.27,6.14
3,345319,2019/2020,Brighton,EPL,4(5),352,0,,0,0,0.8,75.5,6.22,1,,0.4,0,0.1,0.4,6.22,0.6,0.2,0.4,0.1,0.8,0.8,10.9,0.3,0.2,Alexis Mac Allister,,Brighton,10,176cm,24-12-1998,Argentina,"Midfielder (Centre, Left), Forward",6.63,N/A,6.8,6.4,8.19,7.51,6.99,5.83,8.27,6.14
