,player_id,season,team_x,tournament,apps,mins,goals,assists,yels,reds,shoots_per_game,pass_success,overall_ratings,tackles,intercepts,fouls,offsides_won,clear,drb,blocks,key_pass,drb_won,fouls_given,offsides_given,dispossessed,turnover,total_pass,crosses,long_pass,Name,team_y,Current Team,Shirt Number,Height,birth_date,Nationality,Positions,rating_1,rating_2,rating_3,rating_4,rating_5,rating_6,rating_7,rating_8,rating_9,rating_10
0,315275,2022/2023,Leeds,EPL,24,2157,0,,4,1,0.2,82.4,6.73,3.7,,1.5,0,1,1.2,6.73,1,0.3,0.9,0,0.8,1.2,55.3,0,1.7,Tyler Adams,,Leeds,12,173cm,14-02-1999,USA,"Defender (Right), Midfielder (Centre, Right)",N/A,6.87,6.72,6.75,6.34,6.89,7.13,N/A,7.03,6.56
0,317896,2022/2023,Leeds,EPL,33(2),2641,4,,2,0,1.1,70.5,6.72,1.1,,1,0,0.6,1.1,6.72,1.5,1.4,1.1,0.1,1.6,2.6,25.9,1.2,0.7,Jack Harrison,,Leeds,11,175cm,20-11-1996,England,"Attacking Midfielder (Centre, Left, Right), Forward",5.84,7.9,6.22,6.7,6.07,7.92,6.95,5.62,6.23,6.57
1,317896,2021/2022,Leeds,EPL,32(3),2652,8,,3,0,1.2,70.5,6.66,1.6,,0.8,0.1,0.5,1.3,6.66,1.2,1.5,0.7,0.1,1.9,2.5,24.9,0.5,0.6,Jack Harrison,,Leeds,11,175cm,20-11-1996,England,"Attacking Midfielder (Centre, Left, Right), Forward",5.84,7.9,6.22,6.7,6.07,7.92,6.95,5.62,6.23,6.57
2,317896,2020/2021,Leeds,EPL,34(2),2858,8,,2,0,1.3,74,6.96,1.8,,0.8,0,0.5,0.9,6.96,1.6,1.2,0.6,0.3,1.8,2.6,27.5,0.9,0.9,Jack Harrison,,Leeds,11,175cm,20-11-1996,England,"Attacking Midfielder (Centre, Left, Right), Forward",5.84,7.9,6.22,6.7,6.07,7.92,6.95,5.62,6.23,6.57
0,355609,2022/2023,Leeds,EPL,25(3),2146,2,,4,0,0.5,79.9,6.71,2.9,,1,0.3,2.2,1,6.71,0.5,0.3,0.4,0,0.4,0.9,37.4,0.2,0.9,Pascal Struijk,,Leeds,21,190cm,11-08-1999,Netherlands,"Defender (Centre, Left), Defensive Midfielder (C)",6.95,6.76,6.35,5.96,7.67,5.66,5.65,5.76,6.33,6.86
1,355609,2021/2022,Leeds,EPL,22(7),2053,1,,6,1,0.4,85.2,6.36,2.1,,0.9,0.2,1.9,0.7,6.36,0.4,0.1,0.3,0,0.2,0.6,43.2,0,2.1,Pascal Struijk,,Leeds,21,190cm,11-08-1999,Netherlands,"Defender (Centre, Left), Defensive Midfielder (C)",6.95,6.76,6.35,5.96,7.67,5.66,5.65,5.76,6.33,6.86
2,355609,2020/2021,Leeds,EPL,22(5),2074,1,,3,0,0.5,86,6.81,1.8,,1,0.2,3.1,0.4,6.81,0.1,0.1,0.3,0,0.3,0.4,48,0,2.3,Pascal Struijk,,Leeds,21,190cm,11-08-1999,Netherlands,"Defender (Centre, Left), Defensive Midfielder (C)",6.95,6.76,6.35,5.96,7.67,5.66,5.65,5.76,6.33,6.86
0,83459,2022/2023,Leeds,EPL,22(8),1855,13,,6,0,2.2,72.5,6.70,0.8,,0.9,0,0.7,0.4,6.70,0.5,0.4,0.4,0.3,0.8,1.7,16.6,0.2,0.8,Rodrigo,,Leeds,19,182cm,06-03-1991,Spain,"Midfielder (Centre, Left, Right), Forward",5.97,7.01,6.19,6.27,6.56,6.91,5.91,6.97,6.66,6.65
1,83459,2021/2022,Leeds,EPL,27(4),2275,6,,9,0,1.5,75.5,6.57,0.6,,0.7,0,0.8,0.9,6.57,1.2,0.7,1,0.1,0.9,2.4,28.1,0.4,1.3,Rodrigo,,Leeds,19,182cm,06-03-1991,Spain,"Midfielder (Centre, Left, Right), Forward",5.97,7.01,6.19,6.27,6.56,6.91,5.91,6.97,6.66,6.65
2,83459,2020/2021,Leeds,EPL,14(12),1291,7,,3,0,1.8,76.9,6.67,0.5,,0.7,0,0.6,0.7,6.67,1.2,0.6,0.3,0.1,0.8,1.5,21.5,0.1,1,Rodrigo,,Leeds,19,182cm,06-03-1991,Spain,"Midfielder (Centre, Left, Right), Forward",5.97,7.01,6.19,6.27,6.56,6.91,5.91,6.97,6.66,6.65
