,player_name,position,market_value
0,Luke Thomas,Left-Back,10.00
1,Lewis Cook,Central Midfield,10.00
2,Bernd Leno,Goalkeeper,10.00
3,Jacob Murphy,Right Winger,10.00
4,Fabian Schär,Centre-Back,10.00
5,Scott McKenna,Centre-Back,10.00
6,Brandon Williams,Left-Back,10.00
7,Alex Oxlade-Chamberlain,Central Midfield,10.00
8,Joël Veltman,Right-Back,10.00
9,Ivan Perisic,Left Midfield,10.00
10,Chris Wood,Centre-Forward,10.00
11,Rob Holding,Centre-Back,10.00
12,Josh Dasilva,Central Midfield,9.00
13,Jean-Philippe Mateta,Centre-Forward,9.00
14,Vladimir Coufal,Right-Back,9.00
15,Michail Antonio,Centre-Forward,9.00
16,Ryan Christie,Attacking Midfield,9.00
17,Frank Onyeka,Central Midfield,9.00
18,Japhet Tanganga,Centre-Back,9.00
19,Mohamed Elneny,Defensive Midfield,9.00
20,Rodrigo,Centre-Forward,9.00
21,Pascal Groß,Central Midfield,8.00
22,Flynn Downes,Central Midfield,8.00
23,César Azpilicueta,Right-Back,8.00
24,Joe Worrall,Centre-Back,8.00
