,Team,# Pl,Age,Poss,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls_Conceded,Ast_Conceded,G-PK_Conceded,PK_Conceded,PKatt_Conceded,CrdY_Conceded,CrdR_Conceded,xG_Conceded,npxG_Conceded,xAG_Conceded,npxG+xAG_Conceded,PrgC_Conceded,PrgP_Conceded
0,Arsenal,29,25.8,53.8,56,35,91,53,3,3,88,5,47.0,44.6,31.4,76.1,815,48,30,78,41,7,8,79,1,55.3,48.9,39.1,88.1,759
1,Aston Villa,28,25.7,44.1,40,32,72,39,1,3,70,1,44.3,41.8,34.2,76.0,639,66,44,110,61,5,6,90,7,67.8,63.0,46.6,109.6,838
2,Bournemouth,27,25.2,44.1,38,24,62,34,4,4,78,3,44.8,41.7,30.6,72.3,601,65,45,110,60,5,6,67,3,62.3,57.6,42.6,100.2,743
3,Brighton,25,26.4,52.2,35,24,59,34,1,2,59,2,45.4,43.8,31.6,75.4,669,52,42,94,50,2,2,61,1,55.0,53.4,43.1,96.5,773
4,Burnley,22,28.0,41.9,41,30,71,38,3,3,67,0,47.4,45.3,32.4,77.7,437,49,38,87,45,4,5,42,3,49.8,45.8,36.6,82.4,857
5,Chelsea,27,25.5,60.4,69,46,115,62,7,7,60,0,69.2,64.4,46.7,111.1,983,51,36,87,49,2,2,76,3,38.6,37.0,27.4,64.4,464
6,Crystal Palace,25,29.4,44.8,29,20,49,26,3,3,62,2,35.8,33.6,26.0,59.5,596,48,36,84,48,0,1,88,5,57.0,56.2,40.0,96.2,769
7,Everton,24,25.5,49.0,42,32,74,41,1,1,76,3,50.8,50.0,38.1,88.1,623,53,39,92,50,3,4,61,2,48.3,45.2,34.2,79.4,675
8,Leicester City,24,26.1,57.1,65,48,113,60,5,7,43,3,62.2,56.7,44.9,101.6,739,39,26,65,31,8,10,69,3,45.5,37.7,29.2,66.9,653
9,Liverpool,24,26.6,62.9,83,69,152,78,5,5,38,1,68.9,65.0,53.0,118.0,967,32,23,55,31,1,1,47,0,37.7,36.9,29.6,66.5,514
10,Manchester City,24,26.9,66.2,100,69,169,94,6,11,64,4,92.0,83.6,68.4,152.0,1199,34,25,59,31,3,3,53,1,36.2,34.6,23.1,57.8,448
11,Manchester Utd,29,24.8,55.8,65,43,108,55,10,14,73,0,62.2,51.2,38.5,89.7,926,35,24,59,32,3,3,79,2,37.7,35.3,25.2,60.5,648
12,Newcastle Utd,28,26.5,39.0,38,29,67,38,0,1,66,3,35.5,34.8,26.9,61.7,537,56,38,94,54,2,2,57,2,65.6,64.0,50.4,114.4,808
13,Norwich City,30,26.0,49.3,25,18,43,23,2,2,68,3,37.0,35.4,27.4,62.8,673,72,50,122,68,4,7,58,2,66.5,60.9,46.6,107.6,846
14,Sheffield Utd,26,26.9,43.1,36,25,61,35,1,1,63,2,43.0,42.2,34.0,76.3,493,39,28,67,38,1,3,46,0,51.0,48.6,38.1,86.7,840
15,Southampton,25,25.9,48.9,51,32,83,49,2,5,55,4,56.1,52.1,36.4,88.5,628,59,41,100,56,3,4,67,3,52.8,49.6,38.7,88.4,644
16,Tottenham,29,26.7,52.0,56,39,95,53,3,4,84,3,47.9,44.7,32.6,77.3,768,45,27,72,40,5,7,83,1,54.2,49.1,34.0,83.1,715
17,Watford,26,28.9,42.9,35,21,56,28,7,8,80,3,48.9,42.6,31.4,74.0,578,61,37,98,53,8,9,66,1,58.1,51.2,39.4,90.6,844
18,West Ham,29,27.4,44.1,49,36,85,45,4,4,64,1,48.6,45.4,36.7,82.2,666,59,49,108,54,5,6,45,0,63.8,59.1,48.7,107.8,855
19,Wolves,21,26.6,48.3,49,34,83,45,4,4,61,2,54.1,51.0,37.5,88.5,858,39,28,67,38,1,3,85,5,38.0,35.5,26.1,61.6,702
